📺央视卫视频道,#genre#
直播室2,http://182.140.110.75:5050/rtp/239.94.2.12:5140
直播室3,http://182.140.110.75:5050/rtp/239.94.2.13:5140
直播室3,http://182.140.110.75:5050/rtp/239.94.2.14:5140
直播室5,http://182.140.110.75:5050/rtp/239.94.2.15:5140
直播室6,http://182.140.110.75:5050/rtp/239.94.2.16:5140
直播室7,http://182.140.110.75:5050/rtp/239.94.2.17:5140
直播室8,http://182.140.110.75:5050/rtp/239.94.2.18:5140
看天下精选,http://182.140.110.75:5050/rtp/239.94.1.68:5140
精彩推荐,http://182.140.110.75:5050/rtp/239.94.2.10:5140
红色影院,http://182.140.110.75:5050/rtp/239.94.1.48:5140
经典剧场,http://182.140.110.75:5050/rtp/239.94.1.49:5140
综艺咖秀,http://182.140.110.75:5050/rtp/239.94.2.28:5140
综艺咖秀,http://182.140.110.75:5050/rtp/239.94.2.27:5140
解密专区,http://182.140.110.75:5050/rtp/239.94.1.53:5140
谍战剧场,http://182.140.110.75:5050/rtp/239.94.1.28:5140
足球专区,http://182.140.110.75:5050/rtp/239.94.1.47:5140
青春动漫,http://182.140.110.75:5050/rtp/239.94.1.34:5140
风景,http://182.140.110.75:5050/rtp/239.94.2.74:5140
风景直播1,http://182.140.110.75:5050/rtp/239.94.2.19:5140
风景直播2,http://182.140.110.75:5050/rtp/239.94.2.20:5140
风景直播3,http://182.140.110.75:5050/rtp/239.94.2.23:5140
麻辣体育,http://182.140.110.75:5050/rtp/239.94.1.149:5140
成都市 电信,#genre#
CCTV4K,http://118.113.123.198:2345/rtp/239.94.0.20:5140
北京卫视4K,http://118.113.123.198:2345/rtp/239.94.0.111:5140
北京卫视4K,http://118.113.123.198:2345/rtp/239.94.0.112:5140
东方卫视4K,http://118.113.123.198:2345/rtp/239.94.0.119:5140
广东卫视4K,http://118.113.123.198:2345/rtp/239.94.0.114:5140
深圳卫视4K,http://118.113.123.198:2345/rtp/239.94.0.113:5140
湖南卫视4K,http://118.113.123.198:2345/rtp/239.94.0.116:5140
山东卫视4K,http://118.113.123.198:2345/rtp/239.94.0.120:5140
四川卫视4K,http://118.113.123.198:2345/rtp/239.94.0.115:5140
浙江卫视4K,http://118.113.123.198:2345/rtp/239.94.0.118:5140
江苏卫视4K,http://118.113.123.198:2345/rtp/239.94.0.117:5140
欢笑剧场4K,http://118.113.123.198:2345/rtp/239.94.1.176:5140
爱上4K,http://118.113.123.198:2345/rtp/239.94.0.21:5140
4K乐享超清,http://118.113.123.198:2345/rtp/239.94.1.162:5140
4K少儿,http://118.113.123.198:2345/rtp/239.94.1.70:5140
4K纪实,http://118.113.123.198:2345/rtp/239.94.1.69:5140
4K视界,http://118.113.123.198:2345/rtp/239.94.1.60:5140
亲子趣学4k,http://118.113.123.198:2345/rtp/239.94.1.156:5140
天翼高清4K,http://118.113.123.198:2345/rtp/239.94.2.40:5140
天翼高清4K,http://118.113.123.198:2345/rtp/239.94.2.41:5140
绚影4K,http://118.113.123.198:2345/rtp/239.94.1.150:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.0.1:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.2.34:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.1.18:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.1.151:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.0.31:5140
CCTV1,http://118.113.123.198:2345/rtp/239.94.2.69:5140
CCTV2,http://118.113.123.198:2345/rtp/239.94.2.70:5140
CCTV2,http://118.113.123.198:2345/rtp/239.94.0.2:5140
CCTV2,http://118.113.123.198:2345/rtp/239.94.2.35:5140
CCTV3,http://118.113.123.198:2345/rtp/239.94.0.32:5140
CCTV3,http://118.113.123.198:2345/rtp/239.94.0.3:5140
CCTV4,http://118.113.123.198:2345/rtp/239.94.0.4:5140
CCTV5,http://118.113.123.198:2345/rtp/239.94.0.33:5140
CCTV5,http://118.113.123.198:2345/rtp/239.94.2.30:5140
CCTV5,http://118.113.123.198:2345/rtp/239.94.0.5:5140
CCTV5+,http://118.113.123.198:2345/rtp/239.94.0.19:5140
CCTV5+,http://118.113.123.198:2345/rtp/239.94.0.23:5140
CCTV6,http://118.113.123.198:2345/rtp/239.94.0.6:5140
CCTV6,http://118.113.123.198:2345/rtp/239.94.2.33:5140
CCTV6,http://118.113.123.198:2345/rtp/239.94.0.34:5140
CCTV7,http://118.113.123.198:2345/rtp/239.94.0.7:5140
CCTV8,http://118.113.123.198:2345/rtp/239.94.0.8:5140
CCTV8,http://118.113.123.198:2345/rtp/239.94.0.35:5140
CCTV8,http://118.113.123.198:2345/rtp/239.94.2.29:5140
CCTV9,http://118.113.123.198:2345/rtp/239.94.2.32:5140
CCTV9,http://118.113.123.198:2345/rtp/239.94.0.9:5140
CCTV10,http://118.113.123.198:2345/rtp/239.94.0.10:5140
CCTV10,http://118.113.123.198:2345/rtp/239.94.2.31:5140
CCTV11,http://118.113.123.198:2345/rtp/239.94.0.11:5140
CCTV11,http://118.113.123.198:2345/rtp/239.94.0.36:5140
CCTV12,http://118.113.123.198:2345/rtp/239.94.0.12:5140
CCTV13,http://118.113.123.198:2345/rtp/239.94.0.13:5140
CCTV13,http://118.113.123.198:2345/rtp/239.94.0.37:5140
CCTV14,http://118.113.123.198:2345/rtp/239.94.0.14:5140
CCTV15,http://118.113.123.198:2345/rtp/239.94.0.15:5140
CCTV15,http://118.113.123.198:2345/rtp/239.94.0.38:5140
CCTV17,http://118.113.123.198:2345/rtp/239.94.0.39:5140
CCTV17,http://118.113.123.198:2345/rtp/239.94.0.17:5140
CETV1,http://118.113.123.198:2345/rtp/239.94.1.2:5140
CETV4,http://118.113.123.198:2345/rtp/239.94.1.20:5140
CGTN,http://118.113.123.198:2345/rtp/239.94.0.22:5140
CGTN,http://118.113.123.198:2345/rtp/239.94.0.40:5140
CGTN西语,http://118.113.123.198:2345/rtp/239.94.1.61:5140
CGTN西语,http://118.113.123.198:2345/rtp/239.94.1.65:5140
CGTN法语,http://118.113.123.198:2345/rtp/239.94.1.62:5140
CGTN法语,http://118.113.123.198:2345/rtp/239.94.1.66:5140
CHC影迷电影,http://118.113.123.198:2345/rtp/239.94.1.174:5140
CHC家庭影院,http://118.113.123.198:2345/rtp/239.94.1.173:5140
CHC动作电影,http://118.113.123.198:2345/rtp/239.94.1.175:5140
梨园频道,http://118.113.123.198:2345/rtp/239.94.1.16:5140
天元围棋,http://118.113.123.198:2345/rtp/239.94.1.152:5140
法治天地,http://118.113.123.198:2345/rtp/239.94.1.166:5140
游戏风云,http://118.113.123.198:2345/rtp/239.94.1.46:5140
茶频道,http://118.113.123.198:2345/rtp/239.94.1.154:5140
金色学堂,http://118.113.123.198:2345/rtp/239.94.1.165:5140
金鹰纪实,http://118.113.123.198:2345/rtp/239.94.1.1:5140
环球旅游,http://118.113.123.198:2345/rtp/239.94.1.147:5140
快乐垂钓,http://118.113.123.198:2345/rtp/239.94.1.153:5140
生活时尚,http://118.113.123.198:2345/rtp/239.94.1.146:5140
中国交通,http://118.113.123.198:2345/rtp/239.94.0.87:5140
中国天气,http://118.113.123.198:2345/rtp/239.94.1.167:5140
乐游,http://118.113.123.198:2345/rtp/239.94.1.164:5140
动漫秀场,http://118.113.123.198:2345/rtp/239.94.1.171:5140
